City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,sibolga,1.7427,98.7792,300.01,75,87,0.32,ID,1675476818
110,khash,28.2211,61.2158,282.48,80,2,0.41,IR,1675476819
111,bonavista,48.6499,-53.1147,275.08,90,100,11.93,CA,1675476819
112,albany,42.6001,-73.9662,253.91,49,89,2.68,US,1675476682
113,half moon bay,37.4636,-122.4286,286.16,95,100,0.0,US,1675476820
114,port hedland,-20.3167,118.5667,308.18,38,6,4.12,AU,1675476820
115,lompoc,34.6391,-120.4579,287.23,77,4,5.36,US,1675476820
116,kieta,-6.2167,155.6333,302.48,74,100,2.52,PG,1675476821
117,yeppoon,-23.1333,150.7333,304.03,61,100,2.69,AU,1675476821
118,qaanaaq,77.484,-69.3632,254.09,59,43,3.33,GL,1675476822
119,saint-philippe,-21.3585,55.7679,297.92,88,45,4.27,RE,1675476822
120,ponta do sol,32.6667,-17.1,288.55,62,19,2.74,PT,1675476822
121,sembe,1.6481,14.5806,295.77,58,94,0.16,CG,1675476823
122,manta,-0.95,-80.7333,300.03,83,100,2.57,EC,1675476823
123,la rioja,42.25,-2.5,271.03,41,0,3.15,ES,1675476823
124,sechura,-5.5569,-80.8222,296.98,72,41,4.37,PE,1675476824
125,bambous virieux,-20.3428,57.7575,297.29,94,40,1.54,MU,1675476824
126,codrington,-38.2667,141.9667,291.23,58,76,7.93,AU,1675476824
127,puerto madryn,-42.7692,-65.0385,296.16,54,0,6.84,AR,1675476225
128,sabang,5.8933,95.3214,298.42,88,100,3.21,ID,1675476226
129,cabo san lucas,22.8909,-109.9124,294.32,32,0,3.6,MX,1675476227
130,aykhal,66.0,111.5,241.63,100,100,1.65,RU,1675476228
131,atar,20.5169,-13.0499,289.84,11,100,5.2,MR,1675476228
132,ntcheu,-14.8203,34.6359,290.16,93,90,1.15,MW,1675476229
133,saldanha,-33.0117,17.9442,290.44,88,0,2.29,ZA,1675476231
134,tasiilaq,65.6145,-37.6368,273.24,92,100,3.9,GL,1675476231
135,laguna,38.421,-121.4238,286.1,85,100,2.06,US,1675476233
136,tiksi,71.6872,128.8694,237.94,100,97,0.44,RU,1675476235
137,mumbwa,-14.9783,27.0619,290.73,97,97,1.72,ZM,1675476236
138,kuruman,-27.4524,23.4325,292.59,59,51,3.28,ZA,1675476072
139,guarapari,-20.6667,-40.4975,299.2,87,3,5.49,BR,1675476238
140,mahebourg,-20.4081,57.7,297.31,94,40,1.54,MU,1675476239
141,omsukchan,62.5333,155.8,247.08,96,100,1.78,RU,1675476240
142,ambulu,-8.345,113.6058,300.42,81,100,1.75,ID,1675476241
143,ribeira grande,38.5167,-28.7,289.69,93,100,5.81,PT,1675476241
144,onalaska,43.8844,-91.2351,259.7,53,100,2.68,US,1675476827
145,constitucion,-35.3333,-72.4167,288.52,95,17,4.41,CL,1675476243
146,hearst,49.6835,-83.6665,243.29,99,29,2.33,CA,1675476244
